strategy,n_labels,accuracy,macro_f1,f1_AGN,f1_STAR,f1_COMPACT_OBJECT
random,190,0.8154897494305239,0.5833166351865539,0.82,0.8558758314855875,0.07407407407407407
random,210,0.8200455580865603,0.6095367885462591,0.8220551378446115,0.8584070796460177,0.14814814814814814
random,230,0.8382687927107062,0.6265863595064334,0.8431372549019608,0.8699551569506726,0.16666666666666666
random,250,0.8314350797266514,0.6172703839370507,0.8333333333333334,0.8703296703296703,0.14814814814814814
random,270,0.8542141230068337,0.6358726478457524,0.8621553884711779,0.8854625550660793,0.16
random,290,0.8496583143507973,0.6342413117963779,0.855,0.8810572687224669,0.16666666666666666
random,310,0.8405466970387244,0.6294399908521959,0.8418367346938775,0.8725701943844493,0.17391304347826086
random,330,0.8473804100227791,0.6320492210275849,0.845360824742268,0.8841201716738197,0.16666666666666666
random,350,0.8496583143507973,0.640077540003997,0.8542199488491049,0.8755364806866953,0.19047619047619047
random,370,0.8724373576309795,0.6607776323647908,0.8724489795918368,0.8993576017130621,0.21052631578947367
random,390,0.8519362186788155,0.6435897435897436,0.8461538461538461,0.8846153846153846,0.2
random,410,0.8656036446469249,0.6531652955248265,0.8629441624365483,0.896551724137931,0.2
random,430,0.8678815489749431,0.6546882267640701,0.8651399491094147,0.8989247311827957,0.2
random,450,0.8610478359908884,0.6450747154609816,0.8564102564102564,0.8969957081545065,0.18181818181818182
random,470,0.8496583143507973,0.6398108310604204,0.8463476070528967,0.8826086956521739,0.19047619047619047
random,490,0.8656036446469249,0.65054860653939,0.8622448979591837,0.8989247311827957,0.19047619047619047
random,510,0.8633257403189066,0.6515581821664067,0.8600508905852418,0.8946236559139785,0.2
random,530,0.8542141230068337,0.6452048317697808,0.8491048593350383,0.8865096359743041,0.2
random,550,0.8656036446469249,0.6532763532763532,0.8666666666666667,0.8931623931623932,0.2
random,570,0.8701594533029613,0.6564580656332303,0.8708860759493671,0.8984881209503239,0.2
random,590,0.8610478359908884,0.6529869954901215,0.8585858585858586,0.8898488120950324,0.21052631578947367
random,610,0.8656036446469249,0.6532467532467533,0.8636363636363636,0.8961038961038961,0.2
random,630,0.8701594533029613,0.6562941245113484,0.868020304568528,0.9008620689655172,0.2
random,650,0.856492027334852,0.6442785054610247,0.8534704370179949,0.8888888888888888,0.19047619047619047
random,670,0.8633257403189066,0.6513795217657878,0.8571428571428571,0.8969957081545065,0.2
random,690,0.8747152619589977,0.6570624874422343,0.8759493670886076,0.9047619047619048,0.19047619047619047
random,710,0.8633257403189066,0.6518208432515253,0.8651399491094147,0.8903225806451613,0.2
random,730,0.8701594533029613,0.6540507351786892,0.8746803069053708,0.8969957081545065,0.19047619047619047
random,750,0.8678815489749431,0.652345705340667,0.8695652173913043,0.8969957081545065,0.19047619047619047
random,770,0.8701594533029613,0.6538762213280415,0.8717948717948718,0.8993576017130621,0.19047619047619047
random,790,0.8656036446469249,0.6528990275645243,0.8608247422680413,0.8978723404255319,0.2
random,810,0.8610478359908884,0.617189613918591,0.8593350383631714,0.8969957081545065,0.09523809523809523
random,830,0.8610478359908884,0.6178474811727718,0.8556701030927835,0.8978723404255319,0.1
random,30,0.6287015945330297,0.49184535564159576,0.7058823529411765,0.6871794871794872,0.08247422680412371
random,50,0.6970387243735763,0.5364282399108435,0.7439353099730458,0.7557603686635944,0.1095890410958904
random,70,0.7220956719817767,0.5345732738650572,0.7479674796747967,0.7901785714285714,0.06557377049180328
random,90,0.7767653758542141,0.6008945517522438,0.7713498622589532,0.8558951965065502,0.17543859649122806
random,110,0.7835990888382688,0.6042140294318374,0.7862796833773087,0.8358862144420132,0.19047619047619047
random,130,0.8018223234624146,0.6240733389853489,0.7913279132791328,0.8523206751054853,0.22857142857142856
random,150,0.8337129840546698,0.5960528360528361,0.8363636363636363,0.8717948717948718,0.08
random,170,0.8314350797266514,0.6213829366720903,0.830379746835443,0.8671023965141612,0.16666666666666666
random,190,0.8337129840546698,0.6380785747265297,0.8372093023255814,0.8701298701298701,0.20689655172413793
random,210,0.8132118451025057,0.6288556936106845,0.8010610079575596,0.8547368421052631,0.23076923076923078
